	datetime	predict_SOLA02
0	2016/1/1 0:00	0.910808504
1	2016/1/1 0:30	0.774625182
2	2016/1/1 1:00	0.522220433
3	2016/1/1 1:30	0.839353383
4	2016/1/1 2:00	0.754427433
5	2016/1/1 2:30	0.458673418
6	2016/1/1 3:00	0.966018081
7	2016/1/1 3:30	0.997327089
8	2016/1/1 4:00	0.960407317
9	2016/1/1 4:30	0.81628412
10	2016/1/1 5:00	2.148012161
11	2016/1/1 5:30	43.84238815
12	2016/1/1 6:00	16.65655899
13	2016/1/1 6:30	17.27698708
14	2016/1/1 7:00	82.94616699
15	2016/1/1 7:30	244.0502167
16	2016/1/1 8:00	466.1862793
17	2016/1/1 8:30	776.0298462
18	2016/1/1 9:00	1050.208862
19	2016/1/1 9:30	1290.724365
20	2016/1/1 10:00	1419.876343
21	2016/1/1 10:30	1498.617432
22	2016/1/1 11:00	1734.842651
23	2016/1/1 11:30	1868.541626
24	2016/1/1 12:00	1982.22937
25	2016/1/1 12:30	1769.440552
26	2016/1/1 13:00	1710.971191
27	2016/1/1 13:30	1464.088745
28	2016/1/1 14:00	1150.398193
29	2016/1/1 14:30	871.9723511
30	2016/1/1 15:00	665.3491821
31	2016/1/1 15:30	427.8233337
32	2016/1/1 16:00	186.2424622
33	2016/1/1 16:30	58.77931213
34	2016/1/1 17:00	32.81023026
35	2016/1/1 17:30	5.040662289
36	2016/1/1 18:00	23.92580032
37	2016/1/1 18:30	0.568612099
38	2016/1/1 19:00	0.443961412
39	2016/1/1 19:30	0.958999932
40	2016/1/1 20:00	0.870995402
41	2016/1/1 20:30	0.924482882
42	2016/1/1 21:00	0.994571149
43	2016/1/1 21:30	0.935590982
44	2016/1/1 22:00	0.932659686
45	2016/1/1 22:30	0.523222327
46	2016/1/1 23:00	0.911955714
47	2016/1/1 23:30	0.718965888
48	2016/1/2 0:00	0.867326438
49	2016/1/2 0:30	0.724691927
50	2016/1/2 1:00	0.510181606
51	2016/1/2 1:30	0.775660038
52	2016/1/2 2:00	0.698034644
53	2016/1/2 2:30	0.417057455
54	2016/1/2 3:00	0.918012261
55	2016/1/2 3:30	0.942054331
56	2016/1/2 4:00	0.909708917
57	2016/1/2 4:30	0.765338123
58	2016/1/2 5:00	2.0771873
59	2016/1/2 5:30	39.80026627
60	2016/1/2 6:00	16.44121742
61	2016/1/2 6:30	19.67193985
62	2016/1/2 7:00	133.1469574
63	2016/1/2 7:30	491.6393433
64	2016/1/2 8:00	1044.30249
65	2016/1/2 8:30	1700.527222
66	2016/1/2 9:00	2382.440918
67	2016/1/2 9:30	2920.176758
68	2016/1/2 10:00	3247.922607
69	2016/1/2 10:30	3396.547607
70	2016/1/2 11:00	3729.207031
71	2016/1/2 11:30	3799.626465
72	2016/1/2 12:00	3853.675293
73	2016/1/2 12:30	3608.482666
74	2016/1/2 13:00	3415.409912
75	2016/1/2 13:30	3089.012451
76	2016/1/2 14:00	2478.057129
77	2016/1/2 14:30	1942.945435
78	2016/1/2 15:00	1356.337524
79	2016/1/2 15:30	811.9205322
80	2016/1/2 16:00	313.2621765
81	2016/1/2 16:30	89.2273407
82	2016/1/2 17:00	33.3714447
83	2016/1/2 17:30	3.774760008
84	2016/1/2 18:00	22.24165916
85	2016/1/2 18:30	0.524546683
86	2016/1/2 19:00	0.404813498
87	2016/1/2 19:30	0.907001257
88	2016/1/2 20:00	0.816450715
89	2016/1/2 20:30	0.86994797
90	2016/1/2 21:00	0.952836394
91	2016/1/2 21:30	0.873713017
92	2016/1/2 22:00	0.893197119
93	2016/1/2 22:30	0.484034359
94	2016/1/2 23:00	0.855280817
95	2016/1/2 23:30	0.682145476
96	2016/1/3 0:00	0.809961975
97	2016/1/3 0:30	0.687563241
98	2016/1/3 1:00	0.481206715
99	2016/1/3 1:30	0.733503222
100	2016/1/3 2:00	0.655078053
101	2016/1/3 2:30	0.392327309
102	2016/1/3 3:00	0.87093395
103	2016/1/3 3:30	0.890424073
104	2016/1/3 4:00	0.846022666
105	2016/1/3 4:30	0.715707958
106	2016/1/3 5:00	1.993303895
107	2016/1/3 5:30	41.33484268
108	2016/1/3 6:00	12.47959423
109	2016/1/3 6:30	15.13793278
110	2016/1/3 7:00	89.25358582
111	2016/1/3 7:30	323.5492249
112	2016/1/3 8:00	658.914856
113	2016/1/3 8:30	1116.82959
114	2016/1/3 9:00	1654.387817
115	2016/1/3 9:30	1997.612427
116	2016/1/3 10:00	2252.967773
117	2016/1/3 10:30	2349.865967
118	2016/1/3 11:00	2678.236328
119	2016/1/3 11:30	2713.189453
120	2016/1/3 12:00	2803.218018
121	2016/1/3 12:30	2609.198242
122	2016/1/3 13:00	2428.839355
123	2016/1/3 13:30	2169.987061
124	2016/1/3 14:00	1699.762207
125	2016/1/3 14:30	1326.178955
126	2016/1/3 15:00	945.3967285
127	2016/1/3 15:30	569.1454468
128	2016/1/3 16:00	225.4115448
129	2016/1/3 16:30	64.39903259
130	2016/1/3 17:00	27.12102509
131	2016/1/3 17:30	3.592810869
132	2016/1/3 18:00	22.43659592
133	2016/1/3 18:30	0.486332864
134	2016/1/3 19:00	0.376119435
135	2016/1/3 19:30	0.852731168
136	2016/1/3 20:00	0.774890363
137	2016/1/3 20:30	0.813085079
138	2016/1/3 21:00	0.893749237
139	2016/1/3 21:30	0.829860747
140	2016/1/3 22:00	0.840540349
141	2016/1/3 22:30	0.451765299
142	2016/1/3 23:00	0.803330898
143	2016/1/3 23:30	0.647850275
144	2016/1/4 0:00	0.854628623
145	2016/1/4 0:30	0.716743231
146	2016/1/4 1:00	0.495440602
147	2016/1/4 1:30	0.787406862
148	2016/1/4 2:00	0.701047659
149	2016/1/4 2:30	0.427010477
150	2016/1/4 3:00	0.92133671
151	2016/1/4 3:30	0.931676626
152	2016/1/4 4:00	0.87525481
153	2016/1/4 4:30	0.74897486
154	2016/1/4 5:00	2.103011131
155	2016/1/4 5:30	45.39568329
156	2016/1/4 6:00	30.43785095
157	2016/1/4 6:30	94.85897827
158	2016/1/4 7:00	305.0746155
159	2016/1/4 7:30	719.012207
160	2016/1/4 8:00	1276.203613
161	2016/1/4 8:30	1991.36499
162	2016/1/4 9:00	2677.962158
163	2016/1/4 9:30	3151.46167
164	2016/1/4 10:00	3508.284424
165	2016/1/4 10:30	3629.483398
166	2016/1/4 11:00	3906.159912
167	2016/1/4 11:30	3967.245361
168	2016/1/4 12:00	4071.647461
169	2016/1/4 12:30	3811.236084
170	2016/1/4 13:00	3469.586914
171	2016/1/4 13:30	2988.186768
172	2016/1/4 14:00	2232.908691
173	2016/1/4 14:30	1683.416992
174	2016/1/4 15:00	1210.881226
175	2016/1/4 15:30	691.8372803
176	2016/1/4 16:00	266.0493469
177	2016/1/4 16:30	79.75653839
178	2016/1/4 17:00	55.21873093
179	2016/1/4 17:30	12.32563686
180	2016/1/4 18:00	24.52275848
181	2016/1/4 18:30	0.522231877
182	2016/1/4 19:00	0.405085355
183	2016/1/4 19:30	0.896943033
184	2016/1/4 20:00	0.810706079
185	2016/1/4 20:30	0.862611175
186	2016/1/4 21:00	0.918007135
187	2016/1/4 21:30	0.868499219
188	2016/1/4 22:00	0.872244596
189	2016/1/4 22:30	0.47571978
190	2016/1/4 23:00	0.845126867
191	2016/1/4 23:30	0.678337872
192	2016/1/5 0:00	0.812806129
193	2016/1/5 0:30	0.68276763
194	2016/1/5 1:00	0.477053076
195	2016/1/5 1:30	0.73823899
196	2016/1/5 2:00	0.659047306
197	2016/1/5 2:30	0.391172975
198	2016/1/5 3:00	0.877233326
199	2016/1/5 3:30	0.884120166
200	2016/1/5 4:00	0.852210104
201	2016/1/5 4:30	0.717086434
202	2016/1/5 5:00	1.982609153
203	2016/1/5 5:30	39.74410248
204	2016/1/5 6:00	11.67834187
205	2016/1/5 6:30	15.05715847
206	2016/1/5 7:00	83.50995636
207	2016/1/5 7:30	280.4219666
208	2016/1/5 8:00	564.7768555
209	2016/1/5 8:30	947.1201782
210	2016/1/5 9:00	1355.294312
211	2016/1/5 9:30	1679.668823
212	2016/1/5 10:00	1860.79541
213	2016/1/5 10:30	1912.438477
214	2016/1/5 11:00	2189.554688
215	2016/1/5 11:30	2298.398438
216	2016/1/5 12:00	2457.979492
217	2016/1/5 12:30	2292.132568
218	2016/1/5 13:00	2131.990967
219	2016/1/5 13:30	1864.140015
220	2016/1/5 14:00	1471.745728
221	2016/1/5 14:30	1152.140991
222	2016/1/5 15:00	850.7250366
223	2016/1/5 15:30	525.8425903
224	2016/1/5 16:00	217.5949249
225	2016/1/5 16:30	61.9621315
226	2016/1/5 17:00	29.25834465
227	2016/1/5 17:30	3.821809292
